ALT (m)	PRESS (mb)	TEMP (C)	RH (%)	SPEED (m/s)	DIR (deg)
8	1018.25	10.4	85.2	1.5	170
9	1018.11	10.5	85.7	1.6	175
19	1016.83	13.5	90.2	1.7	197
19	1016.86	13.5	89.9	1.6	196
20	1016.74	13.6	88.8	1.7	185
20	1016.7	13.7	88.5	1.7	180
20	1016.75	13.5	88.2	1.7	179
21	1016.64	13.5	87.9	1.7	179
20	1016.72	13.7	87.2	1.4	174
21	1016.64	13.8	86.8	1.4	170
23	1016.41	13.8	86.5	1.3	167
23	1016.37	13.7	86.4	1.2	166
27	1015.97	13.8	85.9	1.2	162
26	1016.05	13.7	85.6	1.1	159
28	1015.74	13.7	85.6	1	157
29	1015.7	13.7	85.4	1.1	159
26	1016.03	13.8	84.9	1.1	156
28	1015.81	13.7	84.7	1.2	156
27	1015.9	13.7	84.6	1.3	158
30	1015.59	13.7	84.4	1.4	157
28	1015.83	13.7	84.2	1.4	155
31	1015.47	13.7	84.2	1.4	155
32	1015.37	13.7	84	1.4	155
31	1015.43	13.7	84	1.4	157
34	1015.08	13.7	83.9	1.3	159
34	1015.05	13.7	83.8	1.3	161
33	1015.15	13.7	83.7	1.2	162
34	1015.07	13.7	83.6	1.2	166
34	1015.08	13.6	83.6	1.2	169
35	1015	13.7	83.4	1.2	169
36	1014.87	13.7	83.2	1.4	173
36	1014.8	13.7	83.1	1.4	173
37	1014.67	13.7	83	1.4	171
38	1014.57	13.7	83	1.4	170
38	1014.56	13.7	83	1.3	170
38	1014.61	13.6	82.9	1.2	168
40	1014.35	13.7	82.9	1	166
44	1013.92	13.6	83	0.9	167
42	1014.1	13.7	83	0.9	168
42	1014.14	13.7	83	0.8	172
43	1014.04	13.7	83	0.8	179
41	1014.19	13.7	83	0.9	181
46	1013.58	13.7	83	1	182
47	1013.57	13.7	82.9	1.2	188
47	1013.47	13.7	82.7	1.3	185
49	1013.22	13.7	82.9	1.3	181
48	1013.4	13.7	82.9	1.4	182
47	1013.5	13.7	82.9	1.3	186
47	1013.47	13.6	82.6	1.2	172
50	1013.14	13.6	82.6	1.1	174
48	1013.35	13.6	82.6	1.1	170
53	1012.79	13.6	82.6	0.9	160
49	1013.25	13.6	82.6	0.9	147
52	1012.85	13.6	82.6	0.9	141
55	1012.52	13.5	82.7	0.8	153
54	1012.61	13.5	82.7	0.7	164
54	1012.61	13.6	82.8	0.6	174
53	1012.78	13.5	82.8	0.6	183
56	1012.41	13.5	82.9	0.7	182
56	1012.43	13.6	82.9	1.2	213
59	1012.05	13.5	83.1	1.2	209
60	1011.99	13.5	83.1	1.2	193
61	1011.78	13.5	83	1.1	186
60	1011.92	13.5	83	0.9	173
62	1011.7	13.5	83.1	0.8	156
64	1011.44	13.5	83.1	0.8	134
65	1011.39	13.5	83.1	0.6	115
63	1011.56	13.5	83	0.7	106
67	1011.12	13.4	83.1	0.8	109
65	1011.39	13.5	83.1	0.8	115
66	1011.25	13.5	83.1	1	115
65	1011.4	13.5	83.2	1.1	103
69	1010.84	13.5	83.3	1.2	99
67	1011.07	13.5	83.2	1.3	118
68	1010.95	13.4	83.2	1.4	146
70	1010.76	13.4	83.2	1.4	155
69	1010.93	13.4	83.2	1.3	155
69	1010.81	13.4	83.2	1	153
73	1010.34	13.4	83.2	1	155
75	1010.14	13.4	83.4	0.9	155
75	1010.15	13.4	83.4	0.8	157
74	1010.22	13.4	83.4	0.7	158
76	1010.06	13.4	83.5	0.6	151
76	1010.09	13.3	83.4	0.6	144
77	1009.96	13.3	83.4	0.7	143
77	1009.87	13.3	83.5	0.8	146
77	1009.87	13.3	83.5	0.8	151
77	1009.92	13.3	83.5	0.9	153
79	1009.68	13.3	83.6	0.8	156
80	1009.56	13.3	83.6	0.8	157
77	1009.95	13.3	83.6	0	0
79	1009.63	13.3	83.6	1	156
88	1008.65	13.2	83.9	0.8	129
89	1008.45	13.2	83.9	0.8	125
87	1008.7	13.2	84	0.8	125
88	1008.58	13.2	84	0.8	128
89	1008.46	13.3	84.2	0.8	126
89	1008.45	13.3	84.2	1	124
91	1008.22	13.2	84.1	1	120
91	1008.28	13.3	84.2	2	129
91	1008.2	13.5	84.2	2.1	162
91	1008.18	13.3	84	2.4	143
93	1008.04	13.3	84	2.6	147
94	1007.82	13.3	84	2.6	149
95	1007.81	13.4	83.9	2.5	143
92	1008.09	13.4	83.8	2.4	144
91	1008.2	13.4	83.9	2.3	151
90	1008.32	13.3	83.8	2.3	159
91	1008.18	13.3	83.8	2.1	152
93	1008.01	13.3	83.8	2.1	147
92	1008.13	13.3	83.8	2.1	133
92	1008.08	13.2	83.8	2.1	138
95	1007.75	13.3	83.9	1.9	136
90	1008.34	13.3	84	1.8	136
92	1008.06	13.3	84.1	1.6	87
91	1008.28	13.2	84.1	1.4	99
92	1008.17	13.2	84.1	1.6	103
90	1008.34	13.3	84.1	1.6	123
92	1008.17	13.3	84.2	1.6	125
93	1007.95	13.2	84.2	1.8	123
91	1008.17	13.2	84.2	1.7	125
92	1008.14	13.2	84.2	1.7	125
93	1007.95	13.2	84.2	1.6	126
91	1008.25	13.2	84.2	1.5	114
92	1008.06	13.2	84.4	1.5	114
91	1008.22	13.2	84.3	1.4	121
93	1008	13.3	84.4	1.4	122
90	1008.3	13.3	84.4	1.6	122
92	1008.1	13.3	84.4	1.5	135
92	1008.16	13.3	84.4	1.5	129
91	1008.2	13.2	84.3	1.4	117
93	1007.97	13.2	84.3	1.5	115
95	1007.77	13.2	84.3	1.6	108
95	1007.77	13.2	84.3	1.6	105
95	1007.74	13.2	84.2	1.7	89
95	1007.72	13.2	84.3	1.6	79
98	1007.42	13.2	84.3	1.7	66
99	1007.26	13.2	84.4	2.2	76
101	1007.1	13.1	84.3	2.2	116
100	1007.16	13.2	84.4	2.1	116
105	1006.59	13.2	84.4	1.8	136
103	1006.83	13.2	84.4	1.9	144
104	1006.69	13.2	84.5	2.1	145
103	1006.82	13.3	84.4	2.8	142
104	1006.72	13.2	84.4	2.8	141
104	1006.74	13.4	84.4	2.9	145
107	1006.31	13.3	84.3	2.9	143
106	1006.39	13.3	84.4	2.9	160
109	1006.1	13.4	84.3	3.1	157
109	1006.07	13.4	84.2	3.1	158
109	1006.09	13.3	84.1	3.1	145
110	1005.94	13.3	84.2	3.1	142
111	1005.8	13.3	84.1	3.1	142
110	1006.01	13.2	84.2	3	142
109	1006.13	13.2	84.1	3	142
112	1005.75	13.2	84.2	3	142
111	1005.87	13.3	84.2	3	138
112	1005.73	13.3	84.1	3	138
112	1005.72	13.2	84.2	3.1	135
113	1005.61	13.2	84.2	3	124
115	1005.4	13.3	84.3	2.8	129
118	1005.06	13.2	84.2	2.7	127
119	1004.9	13.2	84.3	3.1	112
117	1005.08	13.2	84.2	3.3	114
122	1004.53	13.2	84.2	3.5	110
121	1004.64	13.2	84.2	3.7	112
123	1004.37	13.2	84.2	3.7	117
122	1004.57	13.1	84.2	3.8	117
124	1004.23	13.1	84.3	3.8	115
123	1004.4	13.1	84.4	3.8	115
125	1004.16	13.1	84.4	3.9	122
125	1004.14	13.1	84.4	3.8	120
127	1003.95	13.1	84.5	3.8	118
123	1004.38	13.1	84.5	3.9	117
128	1003.85	13.1	84.5	3.8	118
126	1004.09	13.1	84.6	3.7	125
128	1003.77	13.1	84.6	3.8	129
125	1004.17	13.1	84.6	3.8	130
126	1004.02	13.1	84.6	3.8	127
128	1003.79	13	84.7	3.6	126
129	1003.64	13.2	84.5	3.5	120
130	1003.57	13.2	84.5	3.5	124
130	1003.6	13.3	84.4	3.6	120
130	1003.56	13.3	84.3	3.6	119
132	1003.34	13.3	84.3	3.6	121
132	1003.38	13.3	84.3	3.6	121
134	1003.04	13.2	84.1	3.7	118
132	1003.39	13.2	84.1	3.9	120
135	1002.99	13.2	84	3.9	123
135	1002.99	13.3	84	3.8	124
135	1002.94	13.3	83.9	3.9	124
133	1003.25	13.3	83.9	3.9	124
136	1002.82	13.3	83.8	4	124
138	1002.66	13.3	83.8	4	124
139	1002.5	13.3	83.8	4.1	124
140	1002.41	13.3	83.8	4.2	124
137	1002.76	13.3	83.7	4.2	126
138	1002.58	13.3	83.7	4.3	124
137	1002.73	13.3	83.7	4.3	125
141	1002.22	13.3	83.8	4.3	124
139	1002.47	13.3	83.7	4.3	126
140	1002.37	13.3	83.6	4.3	122
140	1002.34	13.2	83.6	4.2	109
141	1002.27	13.2	83.7	4.4	106
142	1002.16	13.2	83.6	0	0
144	1001.95	13.2	83.6	4.4	103
145	1001.74	13.2	83.6	4.4	103
